,csv,maximo,media,minimo,volume
0,AAPL,541.8532884778522,189.30634948244813,106.84,28372804783.18404
1,AMGN,260.95,239.50217815574828,216.38,1587050757.6690187
2,AXP,169.45,122.20628693003263,90.57,6479411162.245054
3,BA,269.19,204.34788957811296,90.19048693731602,19190578577.19422
4,CAT,244.79,181.59571631519182,120.13,5532190317.614878
5,CRM,281.25,224.8177272231243,171.44,13954427892.780266
6,CSCO,55.03,45.9863826388921,35.69,31799259488.884483
7,CVX,111.56,91.9427196625249,66.88,15017872609.176289
8,DIS,201.91,154.6248867842752,109.1,15646373511.01634
9,DOW,70.91,54.34674029427966,38.45,7390294661.53706
10,GS,391.45,267.1329051302193,186.12,5446670529.838161
11,HD,341.12,281.53945738442025,241.01,6869457500.943494
12,IBM,151.28,127.62280928080986,106.56,8307139698.890976
13,INTC,68.26,55.14275832021226,44.11,39798216723.23429
14,JNJ,171.07,154.5617638068425,137.11,11586221888.195896
15,JPM,166.44,125.12200738409922,91.28,20775518717.046837
16,KO,56.24,50.70918985539455,43.57,21401610105.500755
17,MCD,237.11,214.78139910388725,179.74,4894071014.331242
18,MMM,207.33,175.51005503638882,150.41,3819432443.4317265
19,MRK,86.93,79.03839665819686,72.17,15705251820.631025
20,MSFT,271.4,224.43357953289197,182.83,34425185363.87212
21,NKE,155.95,125.85591936035922,93.67,10539534263.077793
22,PG,144.49,133.2003577455314,115.23,11860437896.41959
23,TRV,161.67,134.46427248987803,106.98,2143080123.2547905
24,UNH,420.89,342.0992647190625,274.0863845170201,6691579726.12649
25,V,237.32,209.32646978314378,180.87,14947537468.186253
